customer_id,tenure_months,churn,contract_type,monthly_charges,support_tickets,payment_method,paperless_billing,partner,dependents,internet_service
CUST-10107,42,0,One year,104.23,0,Credit card (automatic),Yes,Yes,Yes,DSL
CUST-10108,3,1,Month-to-month,190.4,0,Bank transfer (automatic),Yes,Yes,No,Fiber optic
CUST-10109,8,1,Month-to-month,61.54,2,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic
CUST-10110,27,0,Month-to-month,216.87,1,Bank transfer (automatic),Yes,Yes,Yes,DSL
CUST-10111,3,1,Month-to-month,49.76,2,Electronic check,Yes,Yes,No,Fiber optic
CUST-10112,60,0,Two year,98.36,2,Bank transfer (automatic),Yes,No,Yes,Fiber optic
CUST-10113,1,1,Two year,197.18,4,Electronic check,Yes,No,Yes,Fiber optic
CUST-10114,8,1,One year,112.25,0,Credit card (automatic),No,Yes,Yes,Fiber optic
CUST-10115,11,1,Two year,69.38,1,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10116,11,0,Two year,121.05,0,Electronic check,Yes,No,No,No
CUST-10117,6,1,Month-to-month,103.08,0,Electronic check,Yes,Yes,Yes,Fiber optic
CUST-10118,16,1,Two year,217.54,0,Electronic check,Yes,No,Yes,Fiber optic
CUST-10119,11,0,One year,111.67,1,Credit card (automatic),Yes,No,No,No
CUST-10120,12,1,Two year,206.79,2,Credit card (automatic),No,No,No,No
CUST-10121,23,1,Two year,227.37,0,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10122,4,1,Month-to-month,135.76,1,Bank transfer (automatic),Yes,No,No,DSL
CUST-10123,2,1,Month-to-month,230.99,3,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10124,7,1,Month-to-month,124.46,1,Electronic check,Yes,No,No,DSL
CUST-10125,2,1,Month-to-month,241.82,3,Bank transfer (automatic),No,No,No,No
CUST-10126,36,1,Two year,66.86,3,Electronic check,Yes,Yes,No,DSL
CUST-10127,25,0,Two year,186.4,2,Electronic check,Yes,Yes,No,DSL
CUST-10128,17,1,Month-to-month,147.76,1,Electronic check,No,No,No,Fiber optic
CUST-10129,7,0,One year,126.53,1,Credit card (automatic),No,No,No,DSL
CUST-10130,7,1,Month-to-month,175.54,1,Electronic check,No,No,No,DSL
CUST-10131,3,1,Month-to-month,189.77,1,Electronic check,No,No,No,DSL
CUST-10132,12,1,Month-to-month,49.87,0,Electronic check,No,Yes,No,Fiber optic
CUST-10133,6,1,Month-to-month,82.39,2,Electronic check,Yes,Yes,Yes,DSL
CUST-10134,44,0,Two year,191.61,1,Credit card (automatic),Yes,No,No,DSL
CUST-10135,7,1,Month-to-month,182.28,3,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10136,2,1,One year,242.21,2,Bank transfer (automatic),No,No,No,Fiber optic
CUST-10137,7,0,One year,201.21,2,Electronic check,No,Yes,No,Fiber optic
CUST-10138,8,1,Month-to-month,239.15,0,Electronic check,Yes,No,Yes,DSL
CUST-10139,50,0,Two year,189.51,2,Bank transfer (automatic),Yes,No,Yes,DSL
CUST-10140,15,1,Two year,108.61,1,Electronic check,Yes,Yes,No,No
CUST-10141,3,1,Month-to-month,70.07,3,Bank transfer (automatic),Yes,Yes,No,Fiber optic
CUST-10142,1,1,Month-to-month,205.36,2,Electronic check,Yes,No,No,No
CUST-10143,10,1,Month-to-month,177.83,0,Bank transfer (automatic),No,No,Yes,DSL
CUST-10144,1,1,Month-to-month,58.64,4,Electronic check,Yes,No,No,Fiber optic
CUST-10145,4,1,Month-to-month,121.01,2,Credit card (automatic),No,Yes,No,Fiber optic
CUST-10146,4,1,One year,240.36,3,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10147,17,1,One year,149.08,0,Credit card (automatic),Yes,Yes,No,No
CUST-10148,7,1,Month-to-month,135.55,1,Electronic check,Yes,Yes,No,Fiber optic
CUST-10149,11,1,Month-to-month,140.54,2,Credit card (automatic),No,No,No,Fiber optic
CUST-10150,2,1,Two year,90.78,2,Bank transfer (automatic),No,No,No,Fiber optic
CUST-10151,5,1,Month-to-month,122.74,1,Electronic check,No,Yes,Yes,No
CUST-10152,1,1,Month-to-month,122.96,1,Electronic check,No,Yes,No,Fiber optic
CUST-10153,2,1,Month-to-month,59.47,1,Credit card (automatic),No,Yes,No,Fiber optic
CUST-10154,38,1,Two year,202.51,2,Electronic check,Yes,No,No,Fiber optic
CUST-10155,9,1,Month-to-month,132.3,3,Credit card (automatic),No,No,No,Fiber optic
CUST-10156,14,0,One year,213.44,3,Electronic check,No,No,No,Fiber optic
CUST-10157,26,1,One year,219.07,1,Credit card (automatic),No,Yes,No,DSL
CUST-10158,18,1,Month-to-month,91.4,1,Electronic check,Yes,No,No,No
CUST-10159,7,1,One year,180.47,1,Credit card (automatic),No,Yes,No,No
CUST-10160,1,1,Month-to-month,143.46,3,Electronic check,Yes,Yes,No,DSL
CUST-10161,2,1,One year,225.03,3,Electronic check,No,No,Yes,Fiber optic
CUST-10162,23,1,One year,92.15,2,Electronic check,Yes,No,No,DSL
CUST-10163,12,1,One year,184.56,1,Bank transfer (automatic),Yes,Yes,No,Fiber optic
CUST-10164,2,1,Month-to-month,170.55,0,Electronic check,Yes,Yes,Yes,Fiber optic
CUST-10165,68,0,Two year,108.06,1,Bank transfer (automatic),Yes,Yes,Yes,No
CUST-10166,1,1,Month-to-month,76.32,1,Electronic check,Yes,Yes,No,No
CUST-10167,1,1,Month-to-month,179.33,1,Electronic check,No,No,No,DSL
CUST-10168,1,1,Month-to-month,196.72,2,Credit card (automatic),Yes,No,No,No
CUST-10169,1,1,One year,112.13,3,Credit card (automatic),Yes,Yes,Yes,No
CUST-10170,24,1,One year,177.97,3,Bank transfer (automatic),Yes,Yes,Yes,DSL
CUST-10171,16,1,Month-to-month,128.03,1,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10172,7,1,One year,191.64,2,Bank transfer (automatic),Yes,No,Yes,DSL
CUST-10173,5,1,Month-to-month,88.84,1,Credit card (automatic),Yes,Yes,Yes,Fiber optic
CUST-10174,30,1,One year,227.04,2,Credit card (automatic),Yes,No,Yes,Fiber optic
CUST-10175,8,1,Month-to-month,106.48,0,Credit card (automatic),No,Yes,Yes,DSL
CUST-10176,41,1,One year,122.56,1,Bank transfer (automatic),Yes,No,Yes,Fiber optic
CUST-10177,10,1,Month-to-month,60.62,0,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10178,30,0,Two year,71.3,1,Credit card (automatic),Yes,No,Yes,Fiber optic
CUST-10179,18,1,Month-to-month,152.17,1,Electronic check,No,No,No,Fiber optic
CUST-10180,6,1,Month-to-month,102.52,1,Electronic check,Yes,No,No,No
CUST-10181,2,1,Month-to-month,216.1,0,Bank transfer (automatic),Yes,No,No,DSL
CUST-10182,18,0,Two year,51.94,2,Electronic check,Yes,Yes,No,DSL
CUST-10183,9,0,Two year,124.82,1,Credit card (automatic),Yes,Yes,No,No
CUST-10184,1,1,Month-to-month,116.47,3,Electronic check,Yes,Yes,No,No
CUST-10185,16,0,One year,52.87,0,Bank transfer (automatic),Yes,No,No,DSL
CUST-10186,48,0,Two year,73.87,1,Electronic check,Yes,No,No,No
CUST-10187,6,1,One year,131.73,4,Bank transfer (automatic),Yes,Yes,No,Fiber optic
CUST-10188,16,1,One year,147.57,1,Electronic check,Yes,No,No,Fiber optic
CUST-10189,8,0,Month-to-month,129.86,0,Bank transfer (automatic),No,No,Yes,Fiber optic
CUST-10190,2,1,Month-to-month,155.19,1,Bank transfer (automatic),No,No,No,DSL
CUST-10191,7,0,Two year,168.03,1,Electronic check,Yes,No,No,DSL
CUST-10192,29,0,Two year,50.98,2,Credit card (automatic),No,No,No,DSL
CUST-10193,14,1,One year,141.82,2,Electronic check,No,Yes,Yes,DSL
CUST-10194,5,1,Month-to-month,241.7,3,Electronic check,No,Yes,No,Fiber optic
CUST-10195,4,1,Month-to-month,152.81,3,Bank transfer (automatic),Yes,No,No,Fiber optic
CUST-10196,54,0,One year,184.51,2,Credit card (automatic),No,Yes,Yes,DSL
CUST-10197,23,0,Two year,111.37,1,Credit card (automatic),Yes,Yes,No,Fiber optic
CUST-10198,46,1,Two year,203.8,3,Electronic check,Yes,No,No,DSL
CUST-10199,1,1,One year,203.58,1,Credit card (automatic),Yes,No,No,DSL
CUST-10200,9,1,One year,153.26,1,Bank transfer (automatic),Yes,No,No,DSL
CUST-10201,1,1,Month-to-month,244.2,1,Credit card (automatic),Yes,Yes,No,Fiber optic
CUST-10202,7,1,Month-to-month,74.11,1,Bank transfer (automatic),Yes,No,No,DSL
CUST-10203,10,0,Two year,52.39,1,Bank transfer (automatic),No,Yes,No,No
CUST-10204,10,0,One year,203.03,0,Electronic check,Yes,Yes,No,No
CUST-10205,3,1,Month-to-month,210.43,3,Electronic check,Yes,No,No,No
CUST-10206,1,1,Month-to-month,73.04,3,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10207,46,0,One year,102.12,3,Credit card (automatic),Yes,Yes,No,Fiber optic
CUST-10208,8,1,Month-to-month,52.51,2,Electronic check,Yes,No,Yes,DSL
CUST-10209,5,1,Month-to-month,107.66,1,Electronic check,No,Yes,Yes,No
CUST-10210,2,1,One year,203.63,1,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10211,45,0,One year,152.59,1,Bank transfer (automatic),Yes,No,No,Fiber optic
CUST-10212,23,1,One year,118.62,2,Electronic check,No,No,No,Fiber optic
CUST-10213,6,1,Month-to-month,123.35,0,Electronic check,Yes,Yes,Yes,DSL
CUST-10214,12,1,One year,49.27,0,Bank transfer (automatic),No,No,No,Fiber optic
CUST-10215,5,1,Month-to-month,108.96,2,Bank transfer (automatic),Yes,Yes,No,Fiber optic
CUST-10216,29,1,Month-to-month,178.29,0,Credit card (automatic),Yes,No,No,No
CUST-10217,7,1,One year,243.84,4,Bank transfer (automatic),Yes,Yes,Yes,DSL
CUST-10218,5,1,One year,218.41,0,Credit card (automatic),Yes,Yes,No,Fiber optic
CUST-10219,60,0,Two year,53.72,0,Bank transfer (automatic),Yes,No,Yes,Fiber optic
CUST-10220,2,1,One year,228.71,1,Credit card (automatic),No,Yes,Yes,Fiber optic
CUST-10221,38,0,One year,205.64,1,Electronic check,No,Yes,No,DSL
CUST-10222,2,1,Month-to-month,205.08,4,Bank transfer (automatic),No,Yes,Yes,Fiber optic
CUST-10223,5,1,Month-to-month,140.6,1,Credit card (automatic),No,No,Yes,DSL
CUST-10224,2,1,Month-to-month,128.6,1,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10225,13,1,Month-to-month,109.58,2,Electronic check,No,Yes,Yes,DSL
CUST-10226,63,0,Two year,62.14,1,Bank transfer (automatic),Yes,Yes,No,Fiber optic
CUST-10227,7,1,Month-to-month,94.65,5,Bank transfer (automatic),No,No,Yes,DSL
CUST-10228,48,0,Two year,98.32,3,Electronic check,Yes,No,No,No
CUST-10229,6,1,One year,145.82,4,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10230,7,0,Two year,198.49,2,Credit card (automatic),No,Yes,Yes,Fiber optic
CUST-10231,35,1,One year,143.76,1,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10232,59,1,One year,60.57,1,Credit card (automatic),Yes,Yes,No,DSL
CUST-10233,17,1,Month-to-month,240.56,2,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic
CUST-10234,3,1,Month-to-month,237.54,1,Credit card (automatic),Yes,No,No,DSL
CUST-10235,28,1,One year,206.04,2,Electronic check,No,No,Yes,DSL
CUST-10236,14,1,Month-to-month,247.27,2,Electronic check,No,No,Yes,No
CUST-10237,3,1,Month-to-month,157.9,1,Credit card (automatic),Yes,Yes,Yes,Fiber optic
CUST-10238,43,1,One year,241.55,1,Bank transfer (automatic),Yes,No,No,DSL
CUST-10239,8,1,Month-to-month,64.12,1,Credit card (automatic),No,No,No,Fiber optic
CUST-10240,50,0,Two year,122.14,3,Credit card (automatic),Yes,No,No,DSL
CUST-10241,18,1,Two year,94.08,1,Electronic check,Yes,No,No,DSL
CUST-10242,37,1,Two year,88.17,2,Credit card (automatic),No,Yes,No,Fiber optic
CUST-10243,1,1,Month-to-month,77.16,3,Electronic check,No,Yes,No,No
CUST-10244,22,1,Month-to-month,173.48,1,Bank transfer (automatic),Yes,No,No,Fiber optic
CUST-10245,71,0,Two year,205.26,0,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10246,1,1,Month-to-month,164.66,3,Credit card (automatic),No,Yes,Yes,Fiber optic
CUST-10247,68,0,Two year,78.39,2,Electronic check,No,Yes,No,DSL
CUST-10248,44,1,Two year,211.22,1,Electronic check,No,Yes,No,Fiber optic
CUST-10249,50,0,Two year,176.19,2,Credit card (automatic),Yes,No,No,No
CUST-10250,1,1,Month-to-month,126.63,0,Credit card (automatic),No,Yes,No,No
CUST-10251,6,1,Month-to-month,183.83,0,Bank transfer (automatic),Yes,Yes,No,No
CUST-10252,49,0,Two year,100.98,0,Electronic check,No,No,No,Fiber optic
CUST-10253,2,1,Month-to-month,118.04,2,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10254,3,1,Month-to-month,232.5,0,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10255,17,1,One year,107.1,2,Electronic check,No,Yes,Yes,No
CUST-10256,23,1,Two year,143.0,1,Credit card (automatic),Yes,No,No,DSL
CUST-10257,10,1,One year,227.03,1,Electronic check,Yes,No,No,DSL
CUST-10258,39,0,One year,190.54,3,Credit card (automatic),No,No,No,DSL
CUST-10259,6,1,Month-to-month,61.44,1,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10260,23,1,One year,78.46,1,Credit card (automatic),No,Yes,No,DSL
CUST-10261,66,0,Two year,50.57,0,Bank transfer (automatic),Yes,No,Yes,Fiber optic
CUST-10262,4,1,Month-to-month,175.18,4,Credit card (automatic),Yes,No,No,No
CUST-10263,25,0,One year,138.53,0,Electronic check,No,Yes,No,No
CUST-10264,30,0,Two year,75.85,4,Credit card (automatic),Yes,Yes,No,DSL
CUST-10265,1,1,One year,240.59,1,Credit card (automatic),No,No,No,No
CUST-10266,21,1,One year,154.93,2,Credit card (automatic),Yes,No,Yes,Fiber optic
CUST-10267,16,0,One year,97.38,1,Electronic check,No,Yes,No,No
CUST-10268,23,1,Month-to-month,149.12,1,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10269,3,1,Month-to-month,184.92,1,Electronic check,Yes,No,No,DSL
CUST-10270,4,1,Two year,64.25,1,Electronic check,No,No,No,DSL
CUST-10271,15,0,Two year,103.94,1,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10272,3,1,Two year,210.39,1,Electronic check,No,Yes,No,Fiber optic
CUST-10273,37,0,Two year,140.93,0,Bank transfer (automatic),No,No,No,Fiber optic
CUST-10274,2,1,One year,158.32,3,Credit card (automatic),No,No,No,No
CUST-10275,7,1,One year,135.56,1,Bank transfer (automatic),No,No,No,Fiber optic
CUST-10276,54,0,Two year,57.78,0,Credit card (automatic),Yes,Yes,No,DSL
CUST-10277,22,1,One year,82.15,3,Bank transfer (automatic),Yes,No,No,DSL
CUST-10278,13,0,One year,138.11,1,Electronic check,Yes,Yes,Yes,Fiber optic
CUST-10279,43,1,Two year,90.84,2,Bank transfer (automatic),Yes,Yes,No,DSL
CUST-10280,24,0,Two year,59.0,1,Credit card (automatic),Yes,No,Yes,DSL
CUST-10281,3,1,Month-to-month,217.73,2,Bank transfer (automatic),Yes,No,Yes,Fiber optic
CUST-10282,8,1,Month-to-month,245.24,1,Credit card (automatic),Yes,No,No,DSL
CUST-10283,2,1,Month-to-month,207.63,2,Electronic check,Yes,Yes,No,Fiber optic
CUST-10284,7,1,One year,219.76,4,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10285,7,1,Month-to-month,97.4,0,Electronic check,No,Yes,Yes,DSL
CUST-10286,7,1,Month-to-month,241.13,1,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10287,15,0,One year,88.39,0,Electronic check,Yes,Yes,No,No
CUST-10288,5,1,Month-to-month,239.29,0,Credit card (automatic),No,No,No,No
CUST-10289,26,1,One year,247.96,2,Bank transfer (automatic),Yes,No,No,DSL
CUST-10290,9,1,Month-to-month,191.34,0,Credit card (automatic),No,Yes,No,Fiber optic
CUST-10291,6,1,Month-to-month,245.23,1,Bank transfer (automatic),No,Yes,Yes,Fiber optic
CUST-10292,48,0,Two year,162.91,0,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10293,5,1,Month-to-month,100.91,0,Credit card (automatic),No,No,No,DSL
CUST-10294,5,1,Month-to-month,136.4,3,Bank transfer (automatic),No,No,No,No
CUST-10295,25,1,One year,167.71,3,Bank transfer (automatic),Yes,No,Yes,Fiber optic
CUST-10296,2,1,One year,63.62,1,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10297,3,1,Month-to-month,173.47,3,Electronic check,Yes,Yes,No,DSL
CUST-10298,25,1,One year,245.24,1,Credit card (automatic),Yes,Yes,Yes,Fiber optic
CUST-10299,9,1,Month-to-month,87.02,5,Electronic check,Yes,Yes,No,DSL
CUST-10300,18,1,Month-to-month,207.52,1,Credit card (automatic),Yes,No,No,DSL
CUST-10301,9,1,One year,230.58,3,Credit card (automatic),Yes,Yes,No,DSL
CUST-10302,14,0,One year,237.74,1,Bank transfer (automatic),No,No,No,Fiber optic
CUST-10303,1,1,One year,241.03,2,Bank transfer (automatic),Yes,No,Yes,No
CUST-10304,12,1,One year,153.29,1,Credit card (automatic),Yes,No,No,Fiber optic
CUST-10305,26,0,Two year,244.46,2,Electronic check,Yes,No,No,No
CUST-10306,6,1,One year,200.46,0,Bank transfer (automatic),No,Yes,No,Fiber optic
CUST-10307,2,1,Month-to-month,81.33,2,Electronic check,No,No,No,No
CUST-10308,70,0,Two year,144.38,1,Credit card (automatic),No,Yes,Yes,DSL
CUST-10309,6,1,Month-to-month,192.67,1,Electronic check,No,Yes,No,Fiber optic
CUST-10310,10,1,Month-to-month,98.47,2,Credit card (automatic),No,No,No,No
CUST-10311,20,1,Month-to-month,177.12,1,Bank transfer (automatic),No,Yes,Yes,DSL
CUST-10312,5,1,Month-to-month,182.32,2,Electronic check,No,No,No,Fiber optic
